sample-id,absolute-filepath,direction
SAV_coi_mixgendil5,/path/to/cleaned_0_SAV_37C01C_Filt650_750_Q10.fastq,forward
SAV_coi_mixampliccc,/path/to/cleaned_0_SAV_DA801D_Filt650_750_Q10.fastq,forward
